순위,Title명,앨범명
1,손오공,SEVENTEEN 10th Mini Album 'FML'
2,F*ck My Life,SEVENTEEN 10th Mini Album 'FML'
3,HOT,SEVENTEEN 4th Album 'Face the Sun'
4,먼지,SEVENTEEN 10th Mini Album 'FML'
5,April shower,SEVENTEEN 10th Mini Album 'FML'
6,I Don't Understand But I Luv U,SEVENTEEN 10th Mini Album 'FML'
7,Fire,SEVENTEEN 10th Mini Album 'FML'
8,아주 NICE,Love&Letter (Repackage Album)
9,예쁘다,SEVENTEEN 1ST ALBUM (FIRST 'LOVE&LETTER')
10,_WORLD,SEVENTEEN 4th Album Repackage 'SECTOR 17'
11,Rock with you,SEVENTEEN 9th Mini Album 'Attacca'
12,Darl＋ing,SEVENTEEN 4th Album 'Face the Sun'
13,우리의 새벽은 낮보다 뜨겁다,SEVENTEEN 5TH MINI ALBUM 'YOU MAKE MY DAY'
14,울고 싶지 않아,Al1
15,박수,"TEEN, AGE"
16,어쩌나,SEVENTEEN 5TH MINI ALBUM 'YOU MAKE MY DAY'
17,여전히 아름다운지,슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
18,Left & Right,SEVENTEEN 7th Mini Album '헹가래'
19,지금 널 찾아가고 있어,SEVENTEEN SPECIAL ALBUM 'DIRECTOR'S CUT'
20,Home,SEVENTEEN 6TH MINI ALBUM 'YOU MADE MY DAWN'
21,만세,SEVENTEEN 2nd Mini Album 'BOYS BE'
22,아낀다,SEVENTEEN 1st Mini Album '17 CARAT'
23,A-TEEN,A-TEEN Part.3
24,돌고 돌아,SEVENTEEN 4th Album Repackage 'SECTOR 17'
25,Ready to love,SEVENTEEN 8th Mini Album 'Your Choice'
26,HIT,HIT
27,고맙다,SEVENTEEN SPECIAL ALBUM 'DIRECTOR'S CUT'
28,HOME;RUN,SEVENTEEN Special Album '; ［Semicolon］'
29,My My,SEVENTEEN 7th Mini Album '헹가래'
30,Snap Shoot,SEVENTEEN 3RD ALBUM 'An Ode'
